gender,first-name,last-name,date-bought-car,year-bought-car,car-make,engine-type,year-of-visit,date-of-visit,car-age-in-years,car-miles,car-age-in-months,has-issue-in-first-10k
Male,ALEXANDER,BARTLETT,2007-02-01,2007,Manufacturer_3,diesel,2011,2011-03-08,4,48796,49,False
Female,MADISON,COSTA,2016-11-01,2016,Manufacturer_1,petrol,2017,2017-02-25,1,10900,3,False
Female,AVA,TORRES,2007-12-01,2007,Manufacturer_5,petrol,2008,2008-08-07,1,15443,8,False
Male,MATTHEW,ORR,2006-10-01,2006,Manufacturer_1,diesel,2007,2007-04-25,1,9710,6,True
Female,CAMILA,GUEVARA,2009-02-01,2009,Manufacturer_1,diesel,2013,2013-01-06,4,16648,47,False
Male,AARON,ROWLAND,2008-06-01,2008,Manufacturer_3,diesel,2013,2013-06-23,5,122670,60,False
Female,BRIANNA,CORREA,2019-04-01,2019,Manufacturer_2,diesel,2020,2020-04-25,1,12540,12,False
Male,JOSEPH,MCCANN,2007-08-01,2007,Manufacturer_3,petrol,2016,2016-08-08,9,208647,108,False
Female,SOPHIA,RICHMOND,2019-07-01,2019,Manufacturer_4,petrol,2020,2020-01-13,1,7653,6,True
Female,SOFIA,MAY,2013-09-01,2013,Manufacturer_3,petrol,2020,2020-03-02,7,116557,78,False
Male,ALEXANDER,BARRON,2005-06-01,2005,Manufacturer_4,diesel,2006,2006-01-18,1,14305,7,False
Male,DANIEL,CUEVAS,2011-10-01,2011,Manufacturer_2,diesel,2012,2012-07-05,1,24127,9,False
Male,ANTHONY,VAUGHN,2017-03-01,2017,Manufacturer_1,diesel,2020,2020-04-10,3,56589,37,False
Female,SAMANTHA,YOUNG,2019-05-01,2019,Manufacturer_5,diesel,2020,2020-04-19,1,21175,11,False
Male,JAYDEN,CUNNINGHAM,2019-08-01,2019,Manufacturer_1,petrol,2020,2020-11-12,1,21795,15,False
Male,NOAH,MAYER,2018-02-01,2018,Manufacturer_4,petrol,2020,2020-04-10,2,49794,26,False
Male,MATEO,CARLSON,2014-07-01,2014,Manufacturer_1,petrol,2020,2020-06-23,6,148110,71,False
Female,CHLOE,CORTES,2008-06-01,2008,Manufacturer_3,diesel,2015,2015-02-20,7,148183,80,False
Female,ALYSSA,TAPIA,2006-07-01,2006,Manufacturer_2,petrol,2015,2015-07-16,9,179649,108,False
Female,EMILY,BERNAL,2009-10-01,2009,Manufacturer_2,diesel,2013,2013-07-15,4,27276,45,False
Female,ANDREA,WEST,2012-08-01,2012,Manufacturer_2,petrol,2015,2015-05-15,3,22407,33,False
Female,MILA,HUYNH,2016-10-01,2016,Manufacturer_2,petrol,2020,2020-02-21,4,16444,40,False
Female,VICTORIA,HURLEY,2013-09-01,2013,Manufacturer_1,diesel,2016,2016-01-17,3,13920,28,False
Male,JESUS,BOOKER,2018-03-01,2018,Manufacturer_3,diesel,2020,2020-01-06,2,24256,22,False
Male,LUIS,VASQUEZ,2013-07-01,2013,Manufacturer_5,diesel,2016,2016-11-16,3,14160,40,False
Male,BRANDON,PENNINGTON,2010-06-01,2010,Manufacturer_2,petrol,2019,2019-11-19,9,220356,113,False
Male,JULIAN,DIAZ,2010-11-01,2010,Manufacturer_4,diesel,2019,2019-11-23,9,80316,108,False
Male,ETHAN,HANSEN,2010-12-01,2010,Manufacturer_2,petrol,2013,2013-07-10,3,38337,31,False
Male,JONATHAN,ARELLANO,2013-07-01,2013,Manufacturer_3,petrol,2020,2020-08-07,7,72779,85,False
Female,MIA,ONEILL,2014-11-01,2014,Manufacturer_1,petrol,2020,2020-07-05,6,52278,68,False
Female,SARAH,BALL,2009-05-01,2009,Manufacturer_4,diesel,2017,2017-01-25,8,199472,92,False
Male,ANTHONY,MOLINA,2006-09-01,2006,Manufacturer_1,petrol,2009,2009-09-12,3,70557,36,False
Female,ISABELLA,PAGE,2015-07-01,2015,Manufacturer_5,diesel,2020,2020-03-15,5,42060,56,False
Male,MICHAEL,MCLAUGHLIN,2014-08-01,2014,Manufacturer_2,petrol,2015,2015-03-02,1,22729,7,False
Male,ETHAN,MCFARLAND,2007-05-01,2007,Manufacturer_4,petrol,2016,2016-11-01,9,163143,114,False
Female,SOPHIA,OROZCO,2014-05-01,2014,Manufacturer_4,petrol,2018,2018-11-01,4,27488,54,False
Female,KIMBERLY,COCHRAN,2019-07-01,2019,Manufacturer_2,diesel,2020,2020-08-17,1,9261,13,True
Male,ANTHONY,BLANCHARD,2016-06-01,2016,Manufacturer_2,diesel,2020,2020-10-07,4,46976,52,False
Female,MADISON,HIGGINS,2018-10-01,2018,Manufacturer_2,petrol,2020,2020-08-16,2,37502,22,False
Female,ABIGAIL,WHITNEY,2018-06-01,2018,Manufacturer_2,diesel,2020,2020-09-22,2,33234,27,False
Male,BENJAMIN,KEITH,2009-07-01,2009,Manufacturer_2,diesel,2018,2018-02-17,9,176103,103,False
Male,ELIJAH,DILLON,2016-04-01,2016,Manufacturer_1,petrol,2020,2020-07-01,4,27476,51,False
Male,ANDREW,PADILLA,2016-01-01,2016,Manufacturer_5,petrol,2020,2020-08-13,4,88504,55,False
Male,JONATHAN,LEBLANC,2015-05-01,2015,Manufacturer_3,petrol,2018,2018-07-25,3,18537,38,False
Female,OLIVIA,FORD,2014-08-01,2014,Manufacturer_5,petrol,2017,2017-10-11,3,61383,38,False
Female,ABIGAIL,STEPHENS,2006-10-01,2006,Manufacturer_4,diesel,2014,2014-04-18,8,55800,90,False
Female,MADISON,HUBBARD,2018-01-01,2018,Manufacturer_4,diesel,2020,2020-07-22,2,14904,30,False
Female,SOPHIA,MCCOY,2009-07-01,2009,Manufacturer_1,petrol,2018,2018-05-09,9,102366,106,False
Female,EMILY,WALKER,2007-01-01,2007,Manufacturer_1,diesel,2015,2015-12-06,8,116264,107,False
Male,DANIEL,ATKINSON,2017-02-01,2017,Manufacturer_4,petrol,2020,2020-06-11,3,38781,40,False
Female,BRIANNA,HOFFMAN,2011-08-01,2011,Manufacturer_4,diesel,2015,2015-10-01,4,58104,50,False
Female,OLIVIA,PECK,2005-03-01,2005,Manufacturer_5,diesel,2013,2013-12-05,8,117144,105,False
Male,ANDREW,LAMBERT,2013-02-01,2013,Manufacturer_2,petrol,2018,2018-12-15,5,71165,70,False
Male,JAYDEN,VASQUEZ,2013-04-01,2013,Manufacturer_3,diesel,2018,2018-08-18,5,29065,64,False
Female,SARAH,ARMSTRONG,2016-12-01,2016,Manufacturer_1,petrol,2020,2020-05-14,4,67808,41,False
Female,OLIVIA,GRIFFITH,2008-12-01,2008,Manufacturer_1,petrol,2011,2011-07-18,3,69417,31,False
Male,NATHAN,CRAIG,2013-05-01,2013,Manufacturer_1,diesel,2020,2020-12-10,7,120246,91,False
Male,ALEXANDER,FOWLER,2016-01-01,2016,Manufacturer_2,diesel,2020,2020-08-07,4,85840,55,False
Male,LUIS,CARROLL,2012-10-01,2012,Manufacturer_3,petrol,2018,2018-03-23,6,92664,65,False
Female,ALYSSA,AYERS,2019-03-01,2019,Manufacturer_3,petrol,2020,2020-09-23,1,18251,18,False
Female,VALERIA,KNOX,2013-08-01,2013,Manufacturer_2,diesel,2020,2020-08-01,7,79667,84,False
Male,MASON,VARGAS,2011-02-01,2011,Manufacturer_2,diesel,2018,2018-06-03,7,67697,88,False
Male,SEBASTIAN,BRIDGES,2008-03-01,2008,Manufacturer_2,diesel,2013,2013-01-22,5,78540,58,False
Female,CHLOE,ALVARADO,2008-03-01,2008,Manufacturer_4,petrol,2014,2014-05-12,6,30894,74,False
Female,EVELYN,CALHOUN,2014-08-01,2014,Manufacturer_1,petrol,2020,2020-01-16,6,104622,65,False
Female,GENESIS,SANCHEZ,2012-10-01,2012,Manufacturer_3,petrol,2015,2015-05-14,3,46977,31,False
Female,MIA,WOLFE,2019-03-01,2019,Manufacturer_1,petrol,2020,2020-12-03,1,23852,21,False
Female,VICTORIA,PITTMAN,2017-08-01,2017,Manufacturer_3,diesel,2020,2020-05-17,3,24699,33,False
Female,KIMBERLY,CAMPOS,2013-08-01,2013,Manufacturer_3,diesel,2020,2020-04-14,7,77126,80,False
Male,ETHAN,HENDERSON,2007-12-01,2007,Manufacturer_5,petrol,2011,2011-10-14,4,24556,46,False
Male,NOAH,VO,2011-10-01,2011,Manufacturer_1,petrol,2018,2018-03-20,7,133161,77,False
Male,ANTHONY,LOWERY,2006-03-01,2006,Manufacturer_1,diesel,2012,2012-05-11,6,121620,74,False
Male,ALEXANDER,LANG,2019-09-01,2019,Manufacturer_1,petrol,2020,2020-01-04,1,12557,4,False
Male,CHRISTOPHER,GARDNER,2017-11-01,2017,Manufacturer_1,petrol,2020,2020-11-24,3,61824,36,False
Male,BENJAMIN,RUSH,2011-09-01,2011,Manufacturer_2,diesel,2012,2012-10-14,1,17067,13,False
Female,ALEXIS,CHEN,2008-02-01,2008,Manufacturer_5,petrol,2012,2012-12-16,4,52824,58,False
Female,AVA,BRYAN,2011-03-01,2011,Manufacturer_4,petrol,2012,2012-08-03,1,7370,17,True
Male,DANIEL,QUINTANA,2013-12-01,2013,Manufacturer_4,petrol,2014,2014-02-25,1,10785,2,False
Female,ELIZABETH,PERKINS,2006-04-01,2006,Manufacturer_2,diesel,2011,2011-01-03,5,60890,57,False
Male,CHRISTOPHER,YU,2011-06-01,2011,Manufacturer_3,diesel,2012,2012-02-21,1,20830,8,False
Female,HANNAH,SIMPSON,2017-11-01,2017,Manufacturer_2,petrol,2018,2018-03-18,1,21093,4,False
Female,SAMANTHA,COLON,2007-07-01,2007,Manufacturer_5,diesel,2011,2011-04-14,4,43068,45,False
Male,ISAAC,WILKINS,2017-03-01,2017,Manufacturer_2,petrol,2019,2019-03-17,2,26656,24,False
Female,EMMA,CALLAHAN,2011-01-01,2011,Manufacturer_1,diesel,2013,2013-08-23,2,15258,31,False
Female,CHLOE,COPELAND,2008-09-01,2008,Manufacturer_2,petrol,2016,2016-11-25,8,107568,98,False
Female,MADISON,POWERS,2017-12-01,2017,Manufacturer_1,petrol,2020,2020-04-21,3,16254,28,False
Female,BRIANNA,RANDOLPH,2009-12-01,2009,Manufacturer_2,diesel,2017,2017-06-03,8,47728,90,False
Male,BENJAMIN,MATHIS,2019-01-01,2019,Manufacturer_3,diesel,2020,2020-05-18,1,13179,16,False
Male,DAVID,VEGA,2011-12-01,2011,Manufacturer_1,diesel,2013,2013-01-06,2,17804,13,False
Female,OLIVIA,DYER,2015-04-01,2015,Manufacturer_5,diesel,2016,2016-01-05,1,21231,9,False
Male,ANGEL,RODRIGUEZ,2009-03-01,2009,Manufacturer_5,petrol,2017,2017-02-03,8,41992,95,False
Male,DANIEL,LE,2018-09-01,2018,Manufacturer_1,petrol,2020,2020-07-18,2,26858,22,False
Female,ARIA,GARRETT,2010-06-01,2010,Manufacturer_3,diesel,2018,2018-06-14,8,55888,96,False
Female,SOPHIA,VALENTINE,2019-09-01,2019,Manufacturer_2,petrol,2020,2020-12-12,1,14042,15,False
Female,AVA,FERGUSON,2010-01-01,2010,Manufacturer_1,diesel,2017,2017-11-20,7,133490,94,False
Male,JACOB,ANDERSEN,2016-03-01,2016,Manufacturer_5,petrol,2020,2020-09-11,4,73064,54,False
Female,ABIGAIL,BOND,2016-03-01,2016,Manufacturer_3,petrol,2020,2020-12-02,4,53620,57,False
Male,SEBASTIAN,WHEELER,2010-02-01,2010,Manufacturer_1,diesel,2015,2015-05-12,5,73370,63,False
Female,ISABELLA,BECK,2013-09-01,2013,Manufacturer_3,diesel,2020,2020-03-18,7,131684,78,False
Male,JONATHAN,LARA,2012-04-01,2012,Manufacturer_5,petrol,2014,2014-05-05,2,35110,25,False
Female,ARIA,WEBB,2017-01-01,2017,Manufacturer_4,petrol,2020,2020-10-09,3,39417,45,False
Male,MASON,LARSEN,2011-07-01,2011,Manufacturer_4,petrol,2017,2017-08-25,6,127872,73,False
Male,ALEXANDER,BARKER,2005-11-01,2005,Manufacturer_3,petrol,2006,2006-10-09,1,9697,11,True
Male,ANDREW,GOODWIN,2015-02-01,2015,Manufacturer_3,petrol,2020,2020-06-08,5,73160,64,False
Male,LOGAN,MATTHEWS,2011-04-01,2011,Manufacturer_4,diesel,2014,2014-10-09,3,27093,42,False
Male,JACOB,MCINTOSH,2013-11-01,2013,Manufacturer_4,petrol,2020,2020-11-18,7,119273,84,False
Male,DYLAN,FLOYD,2012-06-01,2012,Manufacturer_4,petrol,2015,2015-02-09,3,38664,32,False
Female,CHLOE,HARTMAN,2013-08-01,2013,Manufacturer_3,diesel,2020,2020-09-22,7,154091,85,False
Male,BENJAMIN,SANTANA,2019-08-01,2019,Manufacturer_4,diesel,2020,2020-01-10,1,10529,5,False
Female,EMMA,WATERS,2007-10-01,2007,Manufacturer_1,diesel,2008,2008-10-13,1,5164,12,True
Male,JOSHUA,ACOSTA,2010-09-01,2010,Manufacturer_2,diesel,2013,2013-05-11,3,74493,32,False
Male,MASON,LAWSON,2018-10-01,2018,Manufacturer_3,petrol,2020,2020-05-08,2,40986,19,False
Male,ETHAN,MCGUIRE,2008-05-01,2008,Manufacturer_2,diesel,2013,2013-10-10,5,45885,65,False
Male,LIAM,MICHAEL,2019-06-01,2019,Manufacturer_5,petrol,2020,2020-11-16,1,16898,17,False
Male,DIEGO,SNYDER,2006-03-01,2006,Manufacturer_5,diesel,2010,2010-11-05,4,78548,56,False
Female,AMELIA,PETERSON,2006-03-01,2006,Manufacturer_1,diesel,2014,2014-08-12,8,187256,101,False
Female,BRIANNA,NORRIS,2007-05-01,2007,Manufacturer_3,diesel,2016,2016-08-05,9,202509,111,False
Female,EVELYN,PHAN,2015-07-01,2015,Manufacturer_4,petrol,2020,2020-01-01,5,60445,54,False
Female,CHLOE,HOLMES,2017-03-01,2017,Manufacturer_1,petrol,2020,2020-10-20,3,51189,43,False
Female,MADISON,ESQUIVEL,2009-07-01,2009,Manufacturer_4,petrol,2015,2015-11-10,6,133380,76,False
Male,DAVID,ALI,2008-02-01,2008,Manufacturer_3,diesel,2013,2013-10-23,5,24570,68,False
Male,ANDREW,HODGE,2016-08-01,2016,Manufacturer_4,diesel,2017,2017-01-21,1,7685,5,True
Female,MIA,LAMB,2013-05-01,2013,Manufacturer_5,petrol,2018,2018-07-16,5,78680,62,False
Male,BENJAMIN,YORK,2010-09-01,2010,Manufacturer_3,diesel,2018,2018-02-09,8,44248,89,False
Male,ADRIAN,WEISS,2009-11-01,2009,Manufacturer_5,diesel,2010,2010-04-23,1,6458,5,True
Male,JULIAN,VU,2005-03-01,2005,Manufacturer_5,petrol,2008,2008-11-20,3,28701,44,False
Male,JACOB,HUTCHINSON,2008-09-01,2008,Manufacturer_2,petrol,2009,2009-01-25,1,12135,4,False
Male,JULIAN,STRICKLAND,2017-06-01,2017,Manufacturer_4,petrol,2020,2020-07-08,3,12864,37,False
Male,DYLAN,MAXWELL,2010-05-01,2010,Manufacturer_2,petrol,2017,2017-07-12,7,163821,86,False
Female,ALLISON,DICKERSON,2018-05-01,2018,Manufacturer_2,diesel,2020,2020-01-12,2,19242,20,False
Male,JULIAN,BARRON,2007-02-01,2007,Manufacturer_4,diesel,2015,2015-11-19,8,81168,105,False
Female,ELIZABETH,BEASLEY,2008-12-01,2008,Manufacturer_4,diesel,2014,2014-03-25,6,58140,63,False
Female,NATALIE,AGUILAR,2011-11-01,2011,Manufacturer_5,petrol,2017,2017-09-04,6,149892,70,False
Male,MICHAEL,VILLEGAS,2007-08-01,2007,Manufacturer_2,diesel,2012,2012-06-10,5,80515,58,False
Male,JULIAN,PATEL,2019-10-01,2019,Manufacturer_5,petrol,2020,2020-06-20,1,16086,8,False
Female,EMILY,MARKS,2012-12-01,2012,Manufacturer_1,petrol,2013,2013-07-05,1,24890,7,False
Female,PENELOPE,HESTER,2007-03-01,2007,Manufacturer_3,diesel,2015,2015-04-03,8,102064,97,False
Male,CHRISTOPHER,WOODARD,2017-03-01,2017,Manufacturer_4,diesel,2020,2020-03-04,3,18216,36,False
Female,ISABELLA,MONROE,2012-06-01,2012,Manufacturer_4,diesel,2019,2019-12-14,7,46669,90,False
Female,BELLA,MEADOWS,2010-09-01,2010,Manufacturer_5,petrol,2017,2017-01-06,7,135758,76,False
Female,SCARLETT,DUDLEY,2015-08-01,2015,Manufacturer_4,petrol,2020,2020-08-13,5,106945,60,False
Male,DANIEL,JARAMILLO,2015-01-01,2015,Manufacturer_4,petrol,2017,2017-07-10,2,40504,30,False
Male,JULIAN,IBARRA,2012-12-01,2012,Manufacturer_5,petrol,2017,2017-11-25,5,100035,59,False
Male,AARON,HANCOCK,2008-04-01,2008,Manufacturer_4,petrol,2009,2009-09-12,1,24669,17,False
Male,ETHAN,HUGHES,2017-10-01,2017,Manufacturer_1,petrol,2019,2019-01-18,2,47234,15,False
Male,NATHAN,BRUCE,2013-09-01,2013,Manufacturer_3,diesel,2018,2018-09-03,5,98985,60,False
Female,AVA,SUAREZ,2017-01-01,2017,Manufacturer_1,diesel,2018,2018-10-13,1,19224,21,False
Female,ANDREA,PERALTA,2011-05-01,2011,Manufacturer_1,diesel,2018,2018-04-12,7,115661,83,False
Male,AIDEN,CAREY,2007-12-01,2007,Manufacturer_3,diesel,2010,2010-07-08,3,48345,31,False
Female,NATALIE,SHAH,2005-04-01,2005,Manufacturer_3,petrol,2013,2013-07-12,8,156720,99,False
Male,AIDEN,WOLFE,2017-03-01,2017,Manufacturer_5,petrol,2020,2020-12-16,3,74592,45,False
Female,MELANIE,BENJAMIN,2011-02-01,2011,Manufacturer_4,petrol,2013,2013-11-16,2,48654,33,False
Male,DAVID,NEAL,2010-10-01,2010,Manufacturer_3,diesel,2016,2016-08-14,6,104916,70,False
Female,SAMANTHA,BARTON,2017-02-01,2017,Manufacturer_4,diesel,2020,2020-06-21,3,46719,40,False
Male,NOAH,HAYNES,2016-06-01,2016,Manufacturer_1,diesel,2020,2020-05-02,4,26424,47,False
Male,ANDREW,NORTON,2019-04-01,2019,Manufacturer_2,diesel,2020,2020-12-14,1,6685,20,True
Female,CHLOE,GARDNER,2014-07-01,2014,Manufacturer_4,petrol,2020,2020-12-25,6,26688,77,False
Female,VICTORIA,BULLOCK,2012-07-01,2012,Manufacturer_4,diesel,2013,2013-12-16,1,24597,17,False
Female,MADISON,CAREY,2015-11-01,2015,Manufacturer_4,diesel,2020,2020-05-21,5,26595,54,False
Male,ISAAC,MIDDLETON,2018-03-01,2018,Manufacturer_5,petrol,2020,2020-10-19,2,48486,31,False
Female,BRIANNA,MORSE,2014-08-01,2014,Manufacturer_3,petrol,2020,2020-08-14,6,125112,72,False
Female,ALYSSA,BENITEZ,2019-06-01,2019,Manufacturer_2,petrol,2020,2020-06-17,1,11719,12,False
Male,ANDREW,FRENCH,2013-10-01,2013,Manufacturer_3,diesel,2016,2016-10-11,3,70221,36,False
Female,HANNAH,FOWLER,2010-10-01,2010,Manufacturer_4,petrol,2019,2019-01-14,9,186372,99,False
Female,AVA,GOMEZ,2015-03-01,2015,Manufacturer_5,diesel,2020,2020-04-07,5,83035,61,False
Male,DAVID,FAULKNER,2010-10-01,2010,Manufacturer_5,diesel,2018,2018-08-11,8,123600,94,False
Male,KEVIN,EDWARDS,2012-12-01,2012,Manufacturer_2,petrol,2016,2016-09-15,4,21596,45,False
Female,MIA,MAXWELL,2008-07-01,2008,Manufacturer_5,petrol,2017,2017-08-12,9,189459,109,False
Male,DANIEL,PARK,2006-05-01,2006,Manufacturer_1,petrol,2007,2007-03-12,1,9871,10,True
Female,GRACE,PIERCE,2014-11-01,2014,Manufacturer_3,diesel,2018,2018-12-08,4,83760,49,False
Male,MASON,ATKINS,2010-07-01,2010,Manufacturer_5,diesel,2013,2013-02-16,3,38313,31,False
Female,ELIZABETH,SINGH,2016-11-01,2016,Manufacturer_2,diesel,2020,2020-06-16,4,54188,43,False
Female,CAMILA,LEWIS,2011-01-01,2011,Manufacturer_2,petrol,2015,2015-11-23,4,89892,58,False
Female,CHLOE,LOPEZ,2009-03-01,2009,Manufacturer_1,diesel,2014,2014-11-08,5,33050,68,False
Male,ANTHONY,NICHOLS,2008-03-01,2008,Manufacturer_4,diesel,2009,2009-03-04,1,11841,12,False
Male,DIEGO,ROSAS,2009-07-01,2009,Manufacturer_3,petrol,2015,2015-01-04,6,54396,66,False
Female,GENESIS,JACOBSON,2017-11-01,2017,Manufacturer_1,petrol,2020,2020-10-20,3,19515,35,False
Male,NATHAN,HOPKINS,2009-12-01,2009,Manufacturer_5,diesel,2017,2017-10-04,8,56216,94,False
Male,MICHAEL,DAVIDSON,2011-03-01,2011,Manufacturer_4,diesel,2017,2017-09-24,6,106140,78,False
Female,ALLISON,VALENTINE,2012-06-01,2012,Manufacturer_2,diesel,2016,2016-11-21,4,41000,53,False
Male,ALEXANDER,LI,2016-05-01,2016,Manufacturer_4,petrol,2020,2020-02-15,4,93964,45,False
Female,SCARLETT,CANTU,2014-03-01,2014,Manufacturer_3,petrol,2015,2015-07-21,1,24193,16,False
Male,CHRISTOPHER,QUINTANA,2005-09-01,2005,Manufacturer_5,diesel,2011,2011-06-12,6,73050,69,False
Female,JOCELYN,WILCOX,2006-05-01,2006,Manufacturer_3,diesel,2013,2013-08-09,7,54992,87,False
Male,BRANDON,LEVY,2019-12-01,2019,Manufacturer_5,petrol,2020,2020-12-20,1,23052,12,False
Male,JOSEPH,HOLT,2008-01-01,2008,Manufacturer_3,diesel,2014,2014-08-22,6,86142,79,False
Male,ANTHONY,ROSALES,2005-04-01,2005,Manufacturer_3,diesel,2006,2006-02-22,1,5117,10,True
Male,CHRISTOPHER,ARELLANO,2018-08-01,2018,Manufacturer_2,diesel,2020,2020-03-04,2,43502,19,False
Female,ABIGAIL,MORRISON,2017-06-01,2017,Manufacturer_1,petrol,2018,2018-04-21,1,7328,10,True
Male,CHRISTIAN,MACDONALD,2014-04-01,2014,Manufacturer_5,diesel,2020,2020-03-19,6,132120,71,False
