,gender,first-name,last-name,date-bought-car,year-bought-car,car-make,engine-type,year-of-visit,date-of-visit,car-age-in-years,car-miles,car-age-in-months
23,Female,BRIANNA,VENTURA,2005-05-01,2005,Manufacturer_3,petrol,2006,2006-04-19,1,17314,11
24,Female,ISABELLA,CONNER,2011-11-01,2011,Manufacturer_3,diesel,2013,2013-03-02,2,14244,16
25,Female,NATALIE,HESTER,2013-07-01,2013,Manufacturer_2,petrol,2019,2019-01-05,6,51504,66
26,Male,AIDEN,HAHN,2011-05-01,2011,Manufacturer_2,diesel,2013,2013-03-04,2,40376,22
27,Female,EMILY,REYES,2005-01-01,2005,Manufacturer_3,petrol,2013,2013-08-14,8,41184,103
28,Female,ISABELLA,WALKER,2018-11-01,2018,Manufacturer_2,petrol,2020,2020-04-05,2,30280,17
29,Female,ELIZABETH,CHASE,2011-08-01,2011,Manufacturer_1,petrol,2013,2013-05-05,2,41144,21
30,Female,VICTORIA,SIMON,2013-05-01,2013,Manufacturer_3,petrol,2016,2016-12-04,3,85755,43
31,Female,EMMA,CONRAD,2009-10-01,2009,Manufacturer_4,petrol,2012,2012-04-20,3,40104,30
32,Female,PENELOPE,FERGUSON,2010-06-01,2010,Manufacturer_3,diesel,2013,2013-10-18,3,69423,40
33,Male,OLIVER,MURPHY,2005-01-01,2005,Manufacturer_3,petrol,2009,2009-07-16,4,118924,54
34,Male,MICHAEL,MORA,2006-04-01,2006,Manufacturer_4,petrol,2014,2014-10-08,8,78768,102
35,Male,ANDREW,MCGEE,2014-08-01,2014,Manufacturer_5,diesel,2017,2017-08-06,3,64728,36
36,Female,ABIGAIL,RAYMOND,2019-05-01,2019,Manufacturer_5,petrol,2020,2020-01-19,1,20890,8
37,Male,ANTHONY,HUMPHREY,2006-04-01,2006,Manufacturer_1,petrol,2008,2008-09-22,2,26596,29
38,Male,ADRIAN,GREER,2014-07-01,2014,Manufacturer_5,diesel,2017,2017-03-18,3,53514,32
39,Female,ABIGAIL,CURRY,2017-05-01,2017,Manufacturer_4,petrol,2018,2018-02-09,1,17045,9
40,Female,ALYSSA,HAIL,2011-10-01,2011,Manufacturer_5,petrol,2019,2019-03-06,8,163856,89
41,Female,SOFIA,RUSH,2006-09-01,2006,Manufacturer_4,diesel,2011,2011-07-05,5,45475,58
42,Male,MICHAEL,CALHOUN,2007-10-01,2007,Manufacturer_3,diesel,2012,2012-11-19,5,37220,61
43,Female,CHLOE,JUAREZ,2011-08-01,2011,Manufacturer_5,diesel,2012,2012-04-25,1,12137,8
44,Male,ALEXANDER,MOSES,2011-09-01,2011,Manufacturer_2,diesel,2018,2018-07-12,7,203560,82
45,Male,JULIAN,PARKER,2006-04-01,2006,Manufacturer_1,diesel,2010,2010-02-03,4,37052,46
46,Male,MATEO,DONOVAN,2019-10-01,2019,Manufacturer_3,diesel,2020,2020-12-17,1,16869,14
47,Female,CHARLOTTE,BRUCE,2005-12-01,2005,Manufacturer_3,diesel,2013,2013-01-05,8,89512,85
48,Female,EMMA,POWELL,2009-10-01,2009,Manufacturer_4,petrol,2014,2014-11-19,5,124215,61
49,Female,VICTORIA,WILCOX,2009-09-01,2009,Manufacturer_4,diesel,2013,2013-08-08,4,89996,47
50,Male,KEVIN,SCHULTZ,2013-03-01,2013,Manufacturer_1,diesel,2020,2020-05-25,7,52654,86
51,Female,SOPHIA,HICKMAN,2012-09-01,2012,Manufacturer_5,diesel,2017,2017-12-19,5,67630,63
52,Male,JUAN,CALLAHAN,2018-08-01,2018,Manufacturer_5,diesel,2020,2020-06-17,2,59328,22
53,Male,NATHAN,LAMB,2005-05-01,2005,Manufacturer_5,petrol,2012,2012-07-25,7,161609,86
54,Female,CAMILA,FOWLER,2012-04-01,2012,Manufacturer_4,diesel,2019,2019-04-24,7,136465,84
55,Male,BENJAMIN,ACEVEDO,2018-04-01,2018,Manufacturer_2,petrol,2020,2020-06-22,2,55966,26
56,Male,JAMES,COLON,2010-06-01,2010,Manufacturer_1,diesel,2019,2019-10-08,9,86490,112
57,Male,JOSEPH,DILLON,2013-04-01,2013,Manufacturer_5,diesel,2015,2015-10-06,2,43092,30
58,Female,VICTORIA,BERNARD,2014-01-01,2014,Manufacturer_4,diesel,2017,2017-03-06,3,43497,38
59,Female,OLIVIA,MCCORMICK,2011-09-01,2011,Manufacturer_2,petrol,2019,2019-07-19,8,40744,94
60,Male,JACOB,SMALL,2008-10-01,2008,Manufacturer_3,diesel,2016,2016-02-25,8,207208,88
61,Male,NOAH,DUNLAP,2015-02-01,2015,Manufacturer_5,petrol,2020,2020-12-17,5,118200,70
62,Male,LIAM,COX,2006-02-01,2006,Manufacturer_1,diesel,2009,2009-08-23,3,40671,42
63,Female,ZOE,HUFFMAN,2010-06-01,2010,Manufacturer_5,petrol,2015,2015-03-21,5,62880,57
64,Male,AARON,BAILEY,2017-08-01,2017,Manufacturer_1,petrol,2020,2020-02-06,3,76716,30
65,Male,ISAAC,SOSA,2015-07-01,2015,Manufacturer_4,petrol,2020,2020-05-22,5,34325,58
66,Male,JACOB,AVILA,2019-03-01,2019,Manufacturer_3,diesel,2020,2020-10-09,1,17855,19
67,Female,CAMILA,HANNA,2017-02-01,2017,Manufacturer_1,diesel,2020,2020-01-05,3,19338,35
68,Female,KIMBERLY,NOVAK,2009-06-01,2009,Manufacturer_3,petrol,2012,2012-07-25,3,88584,37
69,Female,SOPHIA,LOWE,2017-08-01,2017,Manufacturer_4,diesel,2019,2019-10-19,2,55446,26
70,Male,ANDREW,WARREN,2014-03-01,2014,Manufacturer_1,diesel,2020,2020-01-06,6,123762,70
71,Male,MATTHEW,EDWARDS,2015-03-01,2015,Manufacturer_2,petrol,2020,2020-10-08,5,82245,67
72,Male,JOSEPH,HOGAN,2005-06-01,2005,Manufacturer_1,diesel,2012,2012-09-15,7,76517,87
73,Female,ANDREA,WEBER,2015-07-01,2015,Manufacturer_5,petrol,2018,2018-02-12,3,28899,31
74,Female,OLIVIA,HINES,2015-05-01,2015,Manufacturer_1,diesel,2020,2020-12-03,5,63055,67
75,Male,JOSHUA,MOODY,2019-03-01,2019,Manufacturer_4,petrol,2020,2020-08-17,1,7269,17
76,Male,JOSEPH,MCCANN,2009-04-01,2009,Manufacturer_1,petrol,2013,2013-07-05,4,57928,51
77,Female,BRIANNA,KIRBY,2018-11-01,2018,Manufacturer_2,petrol,2020,2020-08-14,2,35920,21
78,Male,DANIEL,BUCKLEY,2013-09-01,2013,Manufacturer_1,diesel,2019,2019-05-10,6,120684,68
79,Female,MIA,FUENTES,2015-07-01,2015,Manufacturer_5,petrol,2020,2020-08-06,5,92315,61
80,Female,ASHLEY,HIGGINS,2006-01-01,2006,Manufacturer_2,diesel,2007,2007-09-13,1,27928,20
81,Male,ALEXANDER,HUDSON,2017-09-01,2017,Manufacturer_1,petrol,2019,2019-06-05,2,44626,21
82,Male,LIAM,MANN,2010-12-01,2010,Manufacturer_1,petrol,2018,2018-07-07,8,58648,91
83,Female,CAMILA,CONLEY,2014-12-01,2014,Manufacturer_1,petrol,2020,2020-04-13,6,135204,64
84,Male,MATTHEW,HOWE,2013-06-01,2013,Manufacturer_5,diesel,2014,2014-04-21,1,10253,10
85,Female,CHARLOTTE,PALMER,2005-05-01,2005,Manufacturer_1,diesel,2012,2012-08-09,7,82887,87
86,Female,JOCELYN,BRANCH,2010-02-01,2010,Manufacturer_1,petrol,2019,2019-05-01,9,243549,111
87,Female,EMILY,SEXTON,2012-09-01,2012,Manufacturer_1,petrol,2016,2016-07-24,4,81344,46
88,Female,EMMA,MCKENZIE,2019-03-01,2019,Manufacturer_3,petrol,2020,2020-11-16,1,14565,20
89,Female,VALERIA,ZIMMERMAN,2005-05-01,2005,Manufacturer_3,petrol,2008,2008-12-20,3,20094,43
90,Female,SAMANTHA,BEARD,2015-06-01,2015,Manufacturer_3,petrol,2019,2019-09-14,4,53820,51
91,Female,EMMA,SUTTON,2017-08-01,2017,Manufacturer_2,petrol,2020,2020-02-13,3,57054,30
92,Female,CHLOE,JUAREZ,2018-04-01,2018,Manufacturer_4,petrol,2020,2020-04-23,2,22868,24
93,Male,JULIAN,FLYNN,2015-08-01,2015,Manufacturer_5,petrol,2019,2019-02-05,4,82256,42
94,Male,ANGEL,WELCH,2016-02-01,2016,Manufacturer_5,petrol,2020,2020-01-08,4,98720,47
95,Female,ANDREA,CANTRELL,2014-03-01,2014,Manufacturer_1,petrol,2020,2020-12-01,6,48330,81
96,Female,SAMANTHA,HURLEY,2012-12-01,2012,Manufacturer_4,diesel,2020,2020-05-07,8,49488,89
97,Female,ANDREA,SPENCER,2015-08-01,2015,Manufacturer_2,diesel,2020,2020-11-24,5,55765,63
98,Female,AVA,CRUZ,2009-01-01,2009,Manufacturer_2,petrol,2011,2011-01-06,2,34296,24
99,Male,MICHAEL,LINDSEY,2006-05-01,2006,Manufacturer_4,diesel,2010,2010-09-16,4,66856,52
100,Male,DYLAN,MEJIA,2017-02-01,2017,Manufacturer_2,diesel,2018,2018-08-25,1,21060,18
101,Female,CAMILA,GIBSON,2007-04-01,2007,Manufacturer_5,petrol,2015,2015-06-12,8,149616,98
102,Female,NATALIE,HERRING,2013-05-01,2013,Manufacturer_2,diesel,2020,2020-08-24,7,40551,87
103,Female,JASMINE,ONEILL,2013-10-01,2013,Manufacturer_2,diesel,2020,2020-10-08,7,142618,84
104,Female,HANNAH,PONCE,2005-10-01,2005,Manufacturer_2,diesel,2008,2008-11-18,3,38322,37
105,Female,ALYSSA,HERMAN,2017-10-01,2017,Manufacturer_3,diesel,2020,2020-10-21,3,42405,36
106,Female,ARIA,PHAN,2013-02-01,2013,Manufacturer_3,petrol,2018,2018-10-09,5,127420,68
107,Male,BRANDON,SHEPPARD,2010-05-01,2010,Manufacturer_2,diesel,2018,2018-10-02,8,151208,101
108,Male,JOSHUA,EDWARDS,2015-03-01,2015,Manufacturer_5,diesel,2018,2018-10-01,3,18447,43
109,Female,GRACE,DUFFY,2017-10-01,2017,Manufacturer_4,petrol,2019,2019-02-07,2,36530,16
110,Female,ALYSSA,CONTRERAS,2008-11-01,2008,Manufacturer_3,diesel,2010,2010-07-16,2,45334,20
111,Female,SOFIA,CRUZ,2011-04-01,2011,Manufacturer_3,diesel,2019,2019-09-25,8,144544,101
112,Female,ALEXA,TUCKER,2019-10-01,2019,Manufacturer_2,petrol,2020,2020-07-25,1,21776,9
113,Male,JOSHUA,LEBLANC,2016-04-01,2016,Manufacturer_5,petrol,2020,2020-12-05,4,86268,56
114,Male,MICHAEL,CORTEZ,2016-11-01,2016,Manufacturer_2,diesel,2020,2020-04-25,4,83260,41
115,Male,ISAAC,TAPIA,2009-06-01,2009,Manufacturer_1,diesel,2015,2015-08-24,6,58914,74
116,Male,ANTHONY,REYNOLDS,2014-04-01,2014,Manufacturer_1,petrol,2016,2016-11-07,2,51694,31
117,Male,NOAH,VENTURA,2015-07-01,2015,Manufacturer_1,diesel,2020,2020-05-04,5,59665,58
118,Female,ARIA,KERR,2005-03-01,2005,Manufacturer_3,diesel,2008,2008-05-14,3,61596,38
119,Female,AUDREY,FLYNN,2015-05-01,2015,Manufacturer_2,petrol,2020,2020-12-06,5,42455,67
120,Male,MATTHEW,WEBB,2011-01-01,2011,Manufacturer_5,petrol,2013,2013-02-02,2,33908,25
121,Female,EVELYN,OCONNOR,2019-08-01,2019,Manufacturer_1,diesel,2020,2020-08-05,1,9506,12
122,Female,CHLOE,DUNN,2006-02-01,2006,Manufacturer_5,petrol,2012,2012-03-03,6,116988,73
123,Female,CHLOE,REYNA,2009-03-01,2009,Manufacturer_5,petrol,2018,2018-10-10,9,118053,115
124,Female,SAMANTHA,MASSEY,2013-02-01,2013,Manufacturer_3,petrol,2017,2017-01-11,4,87004,47
125,Male,CHRISTOPHER,LLOYD,2017-09-01,2017,Manufacturer_1,diesel,2020,2020-07-03,3,66933,34
126,Female,PENELOPE,DAVIS,2019-09-01,2019,Manufacturer_3,diesel,2020,2020-05-09,1,18021,8
127,Female,VICTORIA,CARR,2011-10-01,2011,Manufacturer_2,petrol,2017,2017-01-24,6,94884,63
128,Male,NATHAN,MORGAN,2006-02-01,2006,Manufacturer_1,petrol,2011,2011-05-02,5,136210,63
129,Male,JACOB,WELCH,2009-02-01,2009,Manufacturer_3,petrol,2012,2012-09-05,3,68631,43
130,Female,SAMANTHA,ANTHONY,2019-02-01,2019,Manufacturer_5,diesel,2020,2020-11-05,1,29459,21
131,Male,JULIAN,BECKER,2011-01-01,2011,Manufacturer_1,petrol,2019,2019-02-16,8,74416,97
132,Male,NATHAN,BERGER,2016-05-01,2016,Manufacturer_2,diesel,2017,2017-03-25,1,26633,10
133,Male,JAMES,WEST,2019-01-01,2019,Manufacturer_4,diesel,2020,2020-08-15,1,27836,19
134,Male,DANIEL,VAUGHAN,2009-01-01,2009,Manufacturer_2,petrol,2013,2013-11-13,4,81628,58
135,Female,VALERIA,STEPHENSON,2010-04-01,2010,Manufacturer_4,diesel,2014,2014-10-24,4,89572,54
136,Female,SARAH,MILLS,2017-12-01,2017,Manufacturer_2,petrol,2020,2020-06-10,3,42462,30
137,Female,MILA,ROLLINS,2007-04-01,2007,Manufacturer_2,petrol,2010,2010-09-14,3,29094,41
138,Male,LIAM,WATSON,2015-01-01,2015,Manufacturer_3,diesel,2018,2018-03-21,3,85686,38
139,Female,CAMILA,WALTERS,2008-12-01,2008,Manufacturer_2,diesel,2010,2010-01-12,2,38714,13
140,Male,DAVID,MELENDEZ,2013-11-01,2013,Manufacturer_2,petrol,2014,2014-03-08,1,9693,4
141,Female,MIA,WASHINGTON,2013-09-01,2013,Manufacturer_5,diesel,2015,2015-12-08,2,35088,27
142,Female,AVA,WHITNEY,2012-03-01,2012,Manufacturer_1,petrol,2016,2016-12-22,4,110356,57
143,Male,LIAM,TORRES,2009-08-01,2009,Manufacturer_2,diesel,2010,2010-03-23,1,22073,7
144,Male,ALEXANDER,DEAN,2011-03-01,2011,Manufacturer_3,petrol,2020,2020-11-14,9,165015,116
145,Male,ALEXANDER,MIRANDA,2009-09-01,2009,Manufacturer_2,diesel,2010,2010-08-16,1,11323,11
146,Male,ANDREW,HODGES,2014-08-01,2014,Manufacturer_5,petrol,2020,2020-04-22,6,126270,68
147,Female,SOPHIA,MIDDLETON,2017-12-01,2017,Manufacturer_4,petrol,2018,2018-04-16,1,25169,4
148,Male,CHRISTOPHER,GUERRA,2005-04-01,2005,Manufacturer_4,petrol,2012,2012-01-03,7,187537,81
149,Male,ANGEL,BRANDT,2015-09-01,2015,Manufacturer_1,diesel,2017,2017-03-04,2,24660,18
150,Male,NATHAN,MURRAY,2013-10-01,2013,Manufacturer_3,petrol,2015,2015-01-07,2,54354,15
151,Female,EMILY,JOHNS,2019-05-01,2019,Manufacturer_1,petrol,2020,2020-03-23,1,10456,10
152,Male,KEVIN,SINGLETON,2015-04-01,2015,Manufacturer_5,petrol,2020,2020-02-04,5,135810,58
153,Male,LIAM,LYNCH,2018-01-01,2018,Manufacturer_5,diesel,2020,2020-08-09,2,28322,31
154,Female,SAMANTHA,HERRING,2006-05-01,2006,Manufacturer_5,petrol,2015,2015-04-24,9,118080,107
155,Male,ALEXANDER,MYERS,2016-04-01,2016,Manufacturer_1,petrol,2019,2019-11-13,3,37713,43
156,Male,DIEGO,FOX,2006-07-01,2006,Manufacturer_5,diesel,2014,2014-02-20,8,41928,91
157,Male,ANTHONY,RYAN,2016-09-01,2016,Manufacturer_5,petrol,2019,2019-09-21,3,21393,36
158,Female,MIA,HALL,2013-11-01,2013,Manufacturer_4,petrol,2016,2016-02-25,3,33429,27
159,Male,CHRISTOPHER,WARD,2014-02-01,2014,Manufacturer_5,diesel,2020,2020-03-16,6,174492,73
160,Female,AVA,SIMS,2006-12-01,2006,Manufacturer_1,diesel,2009,2009-02-11,3,85449,26
161,Female,SCARLETT,LEWIS,2011-03-01,2011,Manufacturer_4,diesel,2016,2016-09-17,5,110195,66
162,Male,MICHAEL,PENA,2014-09-01,2014,Manufacturer_2,diesel,2019,2019-07-21,5,127735,58
163,Female,CAMILA,HURLEY,2011-04-01,2011,Manufacturer_1,petrol,2020,2020-11-24,9,170424,115
164,Male,KEVIN,MCCARTY,2019-03-01,2019,Manufacturer_2,petrol,2020,2020-07-18,1,17449,16
165,Female,EMMA,ODONNELL,2012-12-01,2012,Manufacturer_3,petrol,2013,2013-04-17,1,6529,4
166,Male,CHRISTOPHER,FRY,2008-01-01,2008,Manufacturer_4,diesel,2011,2011-09-04,3,17376,44
167,Female,ISABELLA,WALLS,2013-08-01,2013,Manufacturer_4,petrol,2015,2015-07-03,2,35586,23
168,Female,CAMILA,CUMMINGS,2006-08-01,2006,Manufacturer_4,petrol,2012,2012-02-07,6,100650,66
169,Male,DAVID,WOODWARD,2015-12-01,2015,Manufacturer_3,diesel,2017,2017-12-11,2,30298,24
170,Male,ISAAC,AYALA,2008-08-01,2008,Manufacturer_1,petrol,2013,2013-03-02,5,132950,55
171,Male,CHRISTIAN,GALVAN,2015-09-01,2015,Manufacturer_4,petrol,2019,2019-10-09,4,68260,49
172,Female,ISABELLA,VALENZUELA,2016-02-01,2016,Manufacturer_3,petrol,2019,2019-05-20,3,81672,39
173,Female,ALYSSA,LI,2019-03-01,2019,Manufacturer_1,petrol,2020,2020-05-03,1,21540,14
174,Female,SAMANTHA,HARRIS,2009-03-01,2009,Manufacturer_2,petrol,2014,2014-02-12,5,37900,59
175,Female,NATALIE,SOSA,2006-12-01,2006,Manufacturer_2,diesel,2008,2008-08-19,2,22428,20
176,Male,NATHAN,MCKAY,2008-08-01,2008,Manufacturer_3,petrol,2013,2013-08-07,5,91400,60
177,Male,AIDEN,SMITH,2019-08-01,2019,Manufacturer_4,petrol,2020,2020-12-17,1,22361,16
178,Female,EMMA,ROMERO,2007-03-01,2007,Manufacturer_1,petrol,2014,2014-08-20,7,197239,89
179,Female,EMILY,BELTRAN,2010-07-01,2010,Manufacturer_5,diesel,2015,2015-03-22,5,147965,56
180,Male,ANDREW,FITZGERALD,2015-11-01,2015,Manufacturer_5,petrol,2020,2020-01-08,5,38040,50
181,Male,KEVIN,LAMB,2013-03-01,2013,Manufacturer_4,petrol,2020,2020-12-09,7,59661,93
182,Male,MICHAEL,ASHLEY,2018-07-01,2018,Manufacturer_3,diesel,2020,2020-11-19,2,44032,28
183,Female,MIA,YOUNG,2018-04-01,2018,Manufacturer_4,petrol,2020,2020-10-18,2,37926,30
184,Female,MADISON,TOWNSEND,2017-09-01,2017,Manufacturer_3,petrol,2020,2020-04-23,3,34797,31
185,Female,OLIVIA,DELGADO,2006-01-01,2006,Manufacturer_4,petrol,2007,2007-02-18,1,20050,13
186,Male,NATHAN,BRADFORD,2012-02-01,2012,Manufacturer_2,petrol,2020,2020-11-08,8,126976,105
187,Female,JASMINE,SHELTON,2013-04-01,2013,Manufacturer_5,petrol,2019,2019-12-12,6,130404,80
188,Female,ASHLEY,BLANCHARD,2018-09-01,2018,Manufacturer_5,petrol,2020,2020-02-10,2,48506,17
189,Male,AIDEN,MOORE,2014-07-01,2014,Manufacturer_2,diesel,2017,2017-04-11,3,37560,33
190,Female,SOFIA,SINGH,2015-08-01,2015,Manufacturer_3,petrol,2017,2017-12-04,2,13942,28
191,Female,ZOE,VILLA,2008-06-01,2008,Manufacturer_4,diesel,2013,2013-09-25,5,67210,63
192,Female,EMMA,JACOBS,2010-03-01,2010,Manufacturer_2,petrol,2016,2016-10-10,6,167460,79
193,Male,SEBASTIAN,WRIGHT,2011-03-01,2011,Manufacturer_4,diesel,2016,2016-05-15,5,119260,62
194,Female,EVELYN,MCFARLAND,2012-12-01,2012,Manufacturer_1,diesel,2014,2014-06-18,2,48562,18
195,Female,CHLOE,HESS,2014-09-01,2014,Manufacturer_2,petrol,2020,2020-07-23,6,114048,70
196,Male,RYAN,DRAKE,2013-11-01,2013,Manufacturer_4,diesel,2017,2017-12-04,4,91368,49
197,Male,CHRISTIAN,STEWART,2013-10-01,2013,Manufacturer_1,petrol,2014,2014-11-18,1,26509,13
198,Female,SAMANTHA,CARR,2017-04-01,2017,Manufacturer_5,diesel,2020,2020-05-05,3,59151,37
199,Male,MASON,HURST,2005-02-01,2005,Manufacturer_2,diesel,2008,2008-04-01,3,52938,38
200,Male,NATHAN,NICHOLSON,2005-05-01,2005,Manufacturer_5,petrol,2011,2011-07-10,6,127986,74
201,Male,MICHAEL,BURCH,2016-06-01,2016,Manufacturer_4,petrol,2020,2020-06-16,4,106864,48
202,Male,JONATHAN,DRAKE,2012-07-01,2012,Manufacturer_3,petrol,2018,2018-08-24,6,99420,73
203,Male,ANDREW,GUZMAN,2010-10-01,2010,Manufacturer_2,petrol,2015,2015-06-14,5,91890,56
204,Male,AARON,PETERSEN,2013-12-01,2013,Manufacturer_2,diesel,2014,2014-04-04,1,22241,4
205,Female,EMILY,CONTRERAS,2013-03-01,2013,Manufacturer_4,diesel,2020,2020-12-04,7,145579,93
206,Male,ANTHONY,BROCK,2018-03-01,2018,Manufacturer_4,petrol,2020,2020-12-21,2,16734,33
207,Male,ISAAC,COOPER,2015-09-01,2015,Manufacturer_3,diesel,2020,2020-01-17,5,83355,52
208,Female,ALEXA,HESS,2009-08-01,2009,Manufacturer_4,diesel,2011,2011-03-22,2,55198,19
209,Male,JULIAN,TERRELL,2012-10-01,2012,Manufacturer_3,diesel,2013,2013-07-22,1,12383,9
210,Female,SOPHIA,OLIVER,2006-06-01,2006,Manufacturer_5,diesel,2011,2011-12-22,5,88145,66
211,Female,EVELYN,HAYDEN,2013-08-01,2013,Manufacturer_4,petrol,2015,2015-04-08,2,40696,20
212,Male,JOSHUA,WADE,2008-11-01,2008,Manufacturer_4,diesel,2010,2010-01-19,2,54788,14
213,Male,ANGEL,CONWAY,2016-01-01,2016,Manufacturer_1,petrol,2020,2020-06-25,4,114204,53
214,Male,SEBASTIAN,HARRINGTON,2013-06-01,2013,Manufacturer_5,diesel,2019,2019-04-12,6,96822,70
215,Female,SCARLETT,DOMINGUEZ,2010-12-01,2010,Manufacturer_5,petrol,2011,2011-09-19,1,14419,9
216,Male,NATHAN,PROCTOR,2016-08-01,2016,Manufacturer_2,diesel,2020,2020-06-08,4,84528,46
217,Male,ETHAN,MCMILLAN,2014-02-01,2014,Manufacturer_4,diesel,2020,2020-03-05,6,47640,73
218,Male,DAVID,MCINTYRE,2005-04-01,2005,Manufacturer_5,diesel,2006,2006-07-15,1,15229,15
219,Female,ASHLEY,PRICE,2012-06-01,2012,Manufacturer_3,petrol,2013,2013-02-01,1,8567,8
220,Female,ELIZABETH,WIGGINS,2012-06-01,2012,Manufacturer_4,diesel,2013,2013-12-01,1,22587,18
221,Female,SOFIA,BLACK,2007-12-01,2007,Manufacturer_1,petrol,2011,2011-12-13,4,29632,48
222,Female,SOPHIA,WALTERS,2015-12-01,2015,Manufacturer_4,petrol,2020,2020-01-19,5,114660,49
223,Male,NOAH,BRAVO,2013-02-01,2013,Manufacturer_5,petrol,2020,2020-05-05,7,132517,87
224,Male,LUCAS,JENNINGS,2017-02-01,2017,Manufacturer_5,diesel,2020,2020-06-24,3,18996,40
225,Male,JULIAN,KELLEY,2005-01-01,2005,Manufacturer_5,diesel,2010,2010-04-25,5,82885,63
226,Male,SEBASTIAN,RICHMOND,2009-11-01,2009,Manufacturer_3,petrol,2015,2015-03-23,6,31800,64
227,Male,RYAN,WILKINS,2018-11-01,2018,Manufacturer_4,diesel,2020,2020-08-04,2,45896,21
228,Female,VALERIA,DOUGLAS,2009-02-01,2009,Manufacturer_3,petrol,2015,2015-12-06,6,174594,82
229,Female,EMMA,GILBERT,2019-11-01,2019,Manufacturer_2,diesel,2020,2020-06-11,1,19822,7
230,Female,ABIGAIL,WELLS,2005-02-01,2005,Manufacturer_4,petrol,2010,2010-10-22,5,77925,68
231,Female,NATALIE,HOWELL,2009-12-01,2009,Manufacturer_1,diesel,2011,2011-07-05,2,48560,19
232,Female,ELIZABETH,CURRY,2012-06-01,2012,Manufacturer_1,petrol,2013,2013-02-09,1,8243,8
233,Female,ELIZABETH,WOODWARD,2017-08-01,2017,Manufacturer_2,diesel,2020,2020-11-10,3,74508,39
234,Female,ASHLEY,ROLLINS,2016-11-01,2016,Manufacturer_5,petrol,2020,2020-11-24,4,103560,48
235,Male,LIAM,VANCE,2008-11-01,2008,Manufacturer_3,petrol,2010,2010-10-05,2,17300,23
236,Male,ANDREW,VELASQUEZ,2007-06-01,2007,Manufacturer_5,petrol,2010,2010-11-02,3,76902,41
237,Female,EMMA,BOYER,2017-09-01,2017,Manufacturer_1,petrol,2018,2018-12-09,1,25848,15
238,Male,DANIEL,BUCK,2008-10-01,2008,Manufacturer_2,petrol,2013,2013-03-04,5,46520,53
239,Female,JOCELYN,COPELAND,2014-04-01,2014,Manufacturer_1,diesel,2018,2018-06-25,4,81760,50
240,Male,JONATHAN,HAHN,2010-04-01,2010,Manufacturer_3,diesel,2013,2013-08-22,3,19032,40
